year,team,rbwr
2024,ARI,72
2024,ATL,71
2024,BAL,74
2024,BUF,71
2024,CAR,72
2024,CHI,73
2024,CIN,68
2024,CLE,72
2024,DAL,73
2024,DEN,75
2024,DET,72
2024,GNB,71
2024,HOU,68
2024,IND,74
2024,JAX,70
2024,KAN,73
2024,LVR,71
2024,LAC,72
2024,LAR,72
2024,MIA,70
2024,MIN,72
2024,NWE,67
2024,NOR,71
2024,NYG,69
2024,NYJ,68
2024,PHI,72
2024,PIT,71
2024,SFO,71
2024,SEA,69
2024,TAM,73
2024,TEN,71
2024,WAS,74
2025,ARI,71
2025,ATL,70
2025,BAL,71
2025,BUF,75
2025,CAR,70
2025,CHI,74
2025,CIN,72
2025,CLE,70
2025,DAL,72
2025,DEN,74
2025,DET,71
2025,GNB,71
2025,HOU,68
2025,IND,73
2025,JAX,73
2025,KAN,70
2025,LVR,70
2025,LAC,69
2025,LAR,74
2025,MIA,70
2025,MIN,74
2025,NWE,72
2025,NOR,70
2025,NYG,71
2025,NYJ,71
2025,PHI,71
2025,PIT,72
2025,SFO,72
2025,SEA,73
2025,TAM,70
2025,TEN,70
2025,WAS,70
