year,player,team,age,att,yac_att,brk_rate,ybc_att,ol_adj_ybc,ypc_above_team
2018,Ezekiel Elliott,DAL,23,304,1.9572,0.0625,2.7599,0.1864,0.2623
2018,Saquon Barkley,NYG,21,261,2.8199,0.1149,2.1877,0.1324,0.3154
2018,David Johnson,ARI,27,258,1.5853,0.0349,2.0581,0.0363,0.0465
2018,Todd Gurley,LAR,24,256,2.4102,0.0664,2.4766,0.0264,-0.1133
2018,Adrian Peterson,WAS,33,251,1.8725,0.0797,2.2789,-0.1071,-0.0127
2018,Jordan Howard,CHI,24,250,1.968,0.032,1.772,-0.2822,-0.0947
2018,Chris Carson,SEA,24,247,2.4089,0.0931,2.251,-0.321,0.0213
2018,Joe Mixon,CIN,22,237,2.2532,0.0253,2.6751,0.1442,0.3257
2018,Peyton Barber,TAM,24,234,1.9103,0.0855,1.812,0.0653,0.1749
2018,Christian McCaffrey,CAR,22,219,2.1233,0.0685,2.8904,0.2274,0.2957
2018,James Conner,PIT,23,215,2.0977,0.093,2.4279,0.099,0.1635
2018,Derrick Henry,TEN,24,215,3.0512,0.1581,1.8744,0.0669,0.6689
2018,Lamar Miller,HOU,27,210,2.3857,0.0524,2.2476,0.1277,0.6252
2018,Sony Michel,NWE,23,209,2.0766,0.0526,2.378,-0.1129,0.1778
2018,Marlon Mack,IND,22,195,2.1436,0.0513,2.5128,0.0301,0.1133
2018,Alvin Kamara,NOR,23,194,2.1598,0.1082,2.3918,0.185,-0.0118
2018,Nick Chubb,CLE,23,192,3.1146,0.1146,2.0729,0.3417,0.6239
2018,Phillip Lindsay,DEN,24,192,1.5625,0.0521,3.8385,0.9621,0.5106
2018,Kareem Hunt,KAN,23,181,2.4144,0.0994,2.1381,-0.2398,-0.0529
2018,Melvin Gordon,LAC,25,175,2.7486,0.12,2.3086,0.1448,0.1039
2018,Doug Martin,OAK,29,172,2.0174,0.0581,2.186,0.3878,-0.0415
2018,Carlos Hyde,CLE,28,114,2.4123,0.1228,0.9386,-0.7926,-1.2127
2018,Tevin Coleman,ATL,25,167,1.8144,0.0359,2.976,0.176,0.2404
2018,LeSean McCoy,BUF,30,161,1.4099,0.0124,1.7826,0.1866,-0.3261
2018,Frank Gore,MIA,35,156,2.3654,0.0705,2.2628,-0.4247,-0.1812
2018,Dion Lewis,TEN,28,155,1.6645,0.1032,1.671,-0.1365,-0.9212
2018,LeGarrette Blount,DET,32,154,1.6104,0.0455,1.1039,-0.9396,-1.3509
2018,Matt Breida,SFO,23,153,2.0784,0.0784,3.2418,0.5468,0.4604
2018,Alfred Blue,HOU,27,150,1.28,0.0467,2.0467,-0.0732,-0.6815
2018,Isaiah Crowell,NYJ,25,143,2.6993,0.0839,2.0909,0.3247,0.7451
2018,Latavius Murray,MIN,28,140,2.0643,0.0571,2.0643,-0.2008,-0.16
2018,Mark Ingram,NOR,29,138,2.6884,0.1304,1.9855,-0.2212,0.1106
2018,Gus Edwards,BAL,23,137,2.6423,0.0511,2.5985,0.5985,0.7763
2018,Dalvin Cook,MIN,23,133,1.9774,0.0752,2.6466,0.3815,0.3355
2018,Leonard Fournette,JAX,23,133,1.6992,0.0226,1.6015,-0.2308,-0.1749
2018,Aaron Jones,GNB,24,133,1.9248,0.0451,3.5489,0.792,0.7913
2018,Royce Freeman,DEN,22,130,2.5154,0.1231,1.4923,-1.3841,-0.8828
2018,Jamaal Williams,GNB,23,121,1.9256,0.0413,1.9091,-0.8478,-0.8476
2018,Josh Adams,PHI,22,120,2.125,0.0667,2.1333,0.0015,0.138
2018,Kenyan Drake,MIA,24,120,2.0417,0.075,2.4167,-0.2708,-0.351
2018,Kerryon Johnson,DET,21,118,2.2458,0.1186,3.1864,1.143,1.367
2018,Chris Ivory,BUF,30,115,2.3391,0.0696,1.0087,-0.5873,-0.1708
2018,Alex Collins,BAL,24,114,1.9123,0.0877,1.693,-0.307,-0.8593
2018,Mike Davis,SEA,25,112,1.6607,0.0625,2.9286,0.3565,-0.0493
2018,Alfred Morris,SFO,30,111,1.955,0.0811,1.9009,-0.7942,-1.004
2018,Austin Ekeler,LAC,23,106,3.283,0.0849,1.9434,-0.2203,0.2732
2018,T.J. Yeldon,JAX,25,104,1.7788,0.0481,2.2019,0.3696,0.5052
2019,Derrick Henry,TEN,25,303,3.1947,0.0957,1.8878,0.0644,0.2591
2019,Ezekiel Elliott,DAL,24,301,2.2558,0.0797,2.2525,0.1233,-0.1739
2019,Nick Chubb,CLE,24,298,2.9597,0.1074,2.0537,0.0118,0.1447
2019,Christian McCaffrey,CAR,23,287,1.7875,0.0557,3.0453,-0.0906,-0.0669
2019,Chris Carson,SEA,25,278,2.6403,0.1007,1.7842,-0.2941,-0.1715
2019,Joe Mixon,CIN,23,278,2.3201,0.0863,1.7698,0.084,0.1413
2019,Leonard Fournette,JAX,24,265,2.9887,0.0604,1.3585,0.0996,0.1821
2019,Dalvin Cook,MIN,24,250,2.384,0.08,2.156,-0.1568,-0.1638
2019,Marlon Mack,IND,23,247,2.0243,0.0486,2.3927,0.0093,-0.1745
2019,Sony Michel,NWE,24,247,1.583,0.0648,2.1093,-0.1407,-0.2077
2019,Le'Veon Bell,NYJ,27,245,2.049,0.0653,1.1714,-0.0273,-0.0809
2019,Carlos Hyde,HOU,29,245,2.2245,0.0898,2.1429,-0.0004,-0.1063
2019,Josh Jacobs,OAK,21,242,2.8223,0.1074,1.9298,0.0197,0.4282
2019,David Montgomery,CHI,22,242,1.624,0.1157,2.0496,0.0151,0.1156
2019,Aaron Jones,GNB,25,236,2.1822,0.1356,2.411,0.0149,0.1494
2019,Phillip Lindsay,DEN,25,224,1.8214,0.1295,2.692,0.3326,0.2878
2019,Todd Gurley,LAR,25,223,1.6771,0.0942,2.1659,0.124,0.0466
2019,Saquon Barkley,NYG,22,217,2.788,0.0737,1.8341,0.0866,0.373
2019,Adrian Peterson,WAS,34,211,2.4834,0.0332,1.7725,0.0074,-0.0965
2019,Mark Ingram,BAL,30,202,2.5941,0.0891,2.4455,0.0242,0.0777
2019,Devonta Freeman,ATL,27,184,1.5924,0.0598,1.9728,-0.0981,-0.1864
2019,Miles Sanders,PHI,22,179,2.0838,0.0894,2.486,0.2244,0.2071
2019,Ronald Jones II,TAM,22,172,2.4128,0.1337,1.7965,0.2594,0.6158
