year,player,team,age,att,yac_att,brk_rate,ol_adj_ybc,z_yac,z_brk,z_ol,LINX,ypc_above_team
2018,Derrick Henry,TEN,24,215,3.0512,0.1581,0.0669,2.0637,2.6532,0.1618,1.7651,0.6689
2018,Nick Chubb,CLE,23,192,3.1146,0.1146,0.3417,2.2094,1.2864,0.7424,1.5658,0.6239
2018,Austin Ekeler,LAC,23,106,3.283,0.0849,-0.2203,2.5964,0.3532,-0.4451,1.163,0.2732
2018,Saquon Barkley,NYG,21,261,2.8199,0.1149,0.1324,1.5323,1.2958,0.3002,1.1533,0.3154
2018,Melvin Gordon,LAC,25,175,2.7486,0.12,0.1448,1.3684,1.456,0.3264,1.1342,0.1039
2018,Kerryon Johnson,DET,21,118,2.2458,0.1186,1.143,0.2131,1.4121,2.4356,1.1284,1.367
2018,Mark Ingram,NOR,29,138,2.6884,0.1304,-0.2212,1.2301,1.7828,-0.447,0.9766,0.1106
2018,Isaiah Crowell,NYJ,25,143,2.6993,0.0839,0.3247,1.2551,0.3218,0.7065,0.838,0.7451
2018,Gus Edwards,BAL,23,137,2.6423,0.0511,0.5985,1.1242,-0.7088,1.2851,0.6145,0.7763
2018,Alvin Kamara,NOR,23,194,2.1598,0.1082,0.185,0.0155,1.0853,0.4113,0.4354,-0.0118
2018,Kareem Hunt,KAN,23,181,2.4144,0.0994,-0.2398,0.6005,0.8088,-0.4863,0.3913,-0.0529
2018,Carlos Hyde,CLE,28,114,2.4123,0.1228,-0.7926,0.5957,1.544,-1.6544,0.3176,-1.2127
2018,Chris Carson,SEA,24,247,2.4089,0.0931,-0.321,0.5879,0.6108,-0.6579,0.2833,0.0213
2018,Matt Breida,SFO,23,153,2.0784,0.0784,0.5468,-0.1716,0.1489,1.1758,0.2614,0.4604
2018,Todd Gurley,LAR,24,256,2.4102,0.0664,0.0264,0.5908,-0.2281,0.0762,0.2165,-0.1133
2018,James Conner,PIT,23,215,2.0977,0.093,0.099,-0.1272,0.6077,0.2296,0.1825,0.1635
2018,Royce Freeman,DEN,22,130,2.5154,0.1231,-1.3841,0.8326,1.5534,-2.9043,0.1146,-0.8828
2018,Lamar Miller,HOU,27,210,2.3857,0.0524,0.1277,0.5345,-0.668,0.2902,0.1127,0.6252
2018,Christian McCaffrey,CAR,22,219,2.1233,0.0685,0.2274,-0.0684,-0.1621,0.5009,0.0458,0.2957
2018,Dalvin Cook,MIN,23,133,1.9774,0.0752,0.3815,-0.4037,0.0484,0.8265,0.0395,0.3355
2018,Frank Gore,MIA,35,156,2.3654,0.0705,-0.4247,0.4879,-0.0993,-0.877,-0.0295,-0.1812
2018,Doug Martin,OAK,29,172,2.0174,0.0581,0.3878,-0.3117,-0.4889,0.8398,-0.077,-0.0415
2018,Aaron Jones,GNB,24,133,1.9248,0.0451,0.792,-0.5245,-0.8974,1.694,-0.0818,0.7913
2018,Josh Adams,PHI,22,120,2.125,0.0667,0.0015,-0.0645,-0.2187,0.0236,-0.0887,0.138
2018,Peyton Barber,TAM,24,234,1.9103,0.0855,0.0653,-0.5578,0.372,0.1584,-0.0998,0.1749
2018,Chris Ivory,BUF,30,115,2.3391,0.0696,-0.5873,0.4275,-0.1276,-1.2206,-0.1511,-0.1708
