player,year,team,age,att,yac_att_stab,brk_rate_stab,ol_adj_ybc_stab,LINX_stab
Aaron Jones,2018,GNB,24,133,2.0619,0.0623,0.3105,-0.0357
Adrian Peterson,2018,WAS,33,251,1.9969,0.077,-0.0639,-0.3676
Alex Collins,2018,BAL,24,114,2.0657,0.0788,-0.1176,-0.2444
Alfred Blue,2018,HOU,27,150,1.7789,0.0621,-0.0369,-1.1334
Alfred Morris,2018,SFO,30,111,2.0824,0.0763,-0.2897,-0.4772
Alvin Kamara,2018,NOR,23,194,2.1564,0.0907,0.0862,0.4666
Austin Ekeler,2018,LAC,23,106,2.5445,0.0776,-0.0826,0.8716
Carlos Hyde,2018,CLE,28,114,2.2472,0.0915,-0.2939,0.2017
Chris Carson,2018,SEA,24,247,2.2944,0.0844,-0.1817,0.3106
Chris Ivory,2018,BUF,30,115,2.221,0.0722,-0.2205,-0.1548
Christian McCaffrey,2018,CAR,22,219,2.1375,0.071,0.1142,0.0608
Dalvin Cook,2018,MIN,23,133,2.0829,0.0743,0.1466,0.0446
David Johnson,2018,ARI,27,258,1.8332,0.0518,0.0162,-1.1488
Derrick Henry,2018,TEN,24,215,2.6184,0.1174,0.03,1.9922
Dion Lewis,2018,TEN,28,155,1.9398,0.0866,-0.065,-0.3069
Doug Martin,2018,OAK,29,172,2.0903,0.0665,0.1741,-0.061
Ezekiel Elliott,2018,DAL,23,304,2.0349,0.0669,0.1086,-0.2628
Frank Gore,2018,MIA,35,156,2.2461,0.0723,-0.1915,-0.058
Gus Edwards,2018,BAL,23,137,2.352,0.0645,0.2376,0.5792
Isaiah Crowell,2018,NYJ,25,143,2.3808,0.0779,0.1297,0.7783
Jamaal Williams,2018,GNB,23,121,2.0673,0.0615,-0.3256,-0.8585
James Conner,2018,PIT,23,215,2.1244,0.0837,0.0466,0.2011
Joe Mixon,2018,CIN,22,237,2.2074,0.0474,0.0738,-0.3077
Jordan Howard,2018,CHI,24,250,2.0503,0.0505,-0.1611,-0.9072
Josh Adams,2018,PHI,22,120,2.1425,0.071,-0.0055,-0.0801
Kareem Hunt,2018,KAN,23,181,2.2772,0.0859,-0.119,0.3821
Kenyan Drake,2018,MIA,24,120,2.1113,0.0742,-0.1076,-0.2201
Kerryon Johnson,2018,DET,21,118,2.1875,0.0903,0.4181,0.9584
Lamar Miller,2018,HOU,27,210,2.2722,0.0628,0.0607,0.1342
