year,team,team_line
2018,DAL,0.3865
2018,NYG,-0.5327
2018,ARI,-0.223
2018,LAR,0.5849
2018,WAS,0.6745
2018,CHI,0.5587
2018,SEA,0.8694
2018,CIN,0.2456
2018,TAM,-0.3439
2018,CAR,0.5501
2018,PIT,1.1089
2018,TEN,-0.7989
2018,HOU,-0.1273
2018,NWE,0.7061
2018,IND,0.3048
2018,NOR,0.0215
2018,CLE,-0.5522
2018,DEN,0.4433
2018,KAN,0.1673
2018,LAC,-0.0858
2018,OAK,-0.6384
2018,JAX,-0.2089
2018,ATL,0.7806
2018,BUF,-1.4436
2018,MIA,0.5481
2018,DET,1.2232
2018,SFO,-0.0226
2018,NYJ,0.147
2018,MIN,-0.2199
2018,BAL,0.6308
2018,GNB,0.6402
2018,PHI,0.4093
2019,TEN,-0.8059
2019,DAL,-0.3016
2019,CLE,-0.7373
2019,CAR,0.6816
2019,SEA,0.4243
2019,CIN,-0.6072
2019,JAX,-0.6827
2019,MIN,-0.1589
2019,IND,0.1978
2019,NWE,0.5124
2019,NYJ,-0.5332
2019,HOU,0.4537
2019,OAK,-0.2376
2019,CHI,0.3664
2019,GNB,0.2494
2019,DEN,-0.0465
2019,LAR,0.0733
2019,NYG,-0.7419
2019,WAS,0.1253
2019,BAL,0.4759
2019,ATL,-0.5169
2019,PHI,0.407
2019,TAM,-0.5988
2019,NOR,0.0496
2019,MIA,-1.0733
2019,ARI,0.3393
2019,BUF,-0.0616
2019,LAC,-0.2603
2019,SFO,0.3047
2019,PIT,0.0901
2019,DET,-0.4626
2019,KAN,-0.6772
2020,TEN,-0.1352
2020,MIN,-0.0501
2020,LVR,-0.1766
2020,CHI,0.4948
2020,DAL,-0.5823
2020,JAX,-0.1937
2020,ARI,-0.0613
2020,IND,0.2227
2020,DEN,0.2531
2020,GNB,0.3038
2020,CLE,-0.041
2020,ATL,-0.1832
2020,TAM,-0.1796
2020,NYJ,0.0226
2020,NOR,0.2404
2020,KAN,0.3879
2020,WAS,-0.2247
2020,PIT,0.6734
2020,CAR,-0.5
2020,PHI,0.8471
2020,DET,0.4274
2020,BUF,-0.8855
2020,NYG,-0.5172
2020,HOU,0.2714
2020,LAR,0.5726
2020,BAL,0.4896
2020,MIA,0.0586
2020,SEA,0.6288
2020,NWE,0.5781
2020,SFO,-0.1936
2020,CIN,-0.3405
2020,LAC,-0.0462
2021,IND,0.1037
2021,PIT,0.3832
2021,CIN,-0.1577
2021,WAS,-0.3519
2021,MIN,-0.0961
2021,NOR,-0.2057
2021,DAL,0.2637
2021,CLE,-0.1796
2021,CHI,0.386
2021,TEN,-0.4498
2021,LVR,-0.0637
2021,LAR,0.6745
2021,SFO,0.0701
2021,LAC,0.2794
2021,DEN,0.1795
2021,ARI,0.4473
2021,NWE,-0.2564
2021,BUF,-0.5569
2021,GNB,0.2074
2021,TAM,0.1326
2021,MIA,-0.2788
2021,CAR,-0.6288
2021,JAX,0.4349
2021,NYG,-0.4998
2021,HOU,-0.4889
2021,ATL,0.183
2021,DET,0.1861
2021,NYJ,0.0933
2021,KAN,0.4997
2021,PHI,0.9989
2021,BAL,0.0811
2021,SEA,0.8624
2022,TEN,-0.4822
2022,LVR,0.3177
2022,CLE,-0.0835
2022,NYG,-0.113
2022,PIT,0.9216
2022,MIN,0.0318
2022,DET,0.5428
2022,PHI,1.1022
2022,CAR,0.2607
2022,SFO,0.7853
2022,DAL,-0.0447
2022,SEA,0.8951
2022,NOR,-0.2918
2022,JAX,0.3886
2022,HOU,0.3687
2022,GNB,0.6376
2022,ATL,1.0397
2022,CIN,0.0353
2022,NWE,0.5495
2022,WAS,-0.1673
2022,LAC,0.2672
2022,CHI,0.6582
2022,IND,0.0087
2022,TAM,-0.0008
2022,LAR,0.4008
2022,ARI,1.0711
2022,MIA,-0.3464
2022,BUF,0.5756
2022,DEN,0.184
2022,KAN,0.2807
2022,NYJ,0.5577
2022,BAL,1.0062
2023,TEN,-0.5356
2023,SFO,0.5317
2023,TAM,-0.5274
2023,JAX,-0.9992
2023,CIN,0.0829
2023,PIT,0.5093
2023,DAL,-0.7473
2023,NYG,-0.8189
2023,CAR,-0.525
2023,BUF,-0.275
2023,LVR,-0.138
2023,PHI,0.2652
2023,LAR,-0.0268
2023,NYJ,-1.076
2023,DET,0.578
2023,SEA,0.7359
2023,DEN,-0.1231
2023,HOU,-0.2031
2023,ATL,-0.0219
2023,MIA,-0.5276
2023,ARI,1.143
2023,KAN,-0.0096
2023,CLE,-0.7631
2023,BAL,0.6337
2023,NWE,-0.4505
2023,IND,-0.4118
2023,NOR,-0.1907
2023,MIN,0.2197
2023,LAC,-0.1907
2023,GNB,0.107
2023,WAS,-0.2151
2023,CHI,0.2347
2024,PHI,0.9981
2024,BAL,0.2381
2024,LAR,-0.6311
2024,ATL,-0.0521
2024,IND,0.1185
2024,GNB,-0.1036
2024,PIT,0.4332
2024,TEN,-0.7228
2024,MIN,0.156
2024,CHI,-0.6589
2024,DET,0.6673
2024,CAR,0.1372
2024,HOU,0.0967
2024,ARI,0.7024
2024,DAL,-0.5559
2024,CIN,0.2146
2024,NOR,-0.0692
2024,NYJ,-1.3893
2024,BUF,-0.3704
2024,TAM,-0.1913
2024,NWE,-0.6252
2024,MIA,-2.0569
2024,KAN,-0.2101
2024,LAC,-0.4748
2024,NYG,-0.8028
2024,WAS,-0.1374
2024,JAX,-1.0392
2024,SFO,0.3487
2024,SEA,0.1124
2024,DEN,-0.2944
2024,LVR,-0.4645
2024,CLE,-0.5132
2025,IND,-0.1221
2025,SFO,0.0254
2025,BUF,0.0581
2025,BAL,0.1067
2025,ATL,0.2083
2025,PHI,-0.0225
2025,LVR,-1.236
2025,JAX,-0.8665
2025,LAR,0.1441
2025,DAL,0.346
2025,DET,0.9131
2025,NYJ,-0.8538
2025,TEN,-0.0092
2025,MIA,-2.1076
2025,CAR,-0.4483
2025,GNB,-0.3413
2025,CIN,-0.004
2025,CLE,-1.4002
2025,CHI,0.3675
2025,SEA,0.7725
2025,PIT,0.3249
2025,HOU,-0.7219
2025,NWE,-0.5247
2025,NYG,-0.8896
2025,WAS,-0.7706
2025,TAM,-0.3408
2025,KAN,-0.4283
2025,MIN,-0.0831
2025,LAC,-0.4562
2025,DEN,0.0242
2025,NOR,-0.1942
2025,ARI,0.4861
