player,season_pair,year_t,team_t,team_t1,same_team,age_t,LINX_t,LINX_t1,z_yac_t,z_brk_t,z_ol_t,ol_delta,ypc_above_t,ypc_above_t1
Aaron Jones,2018-2019,2018,GNB,GNB,1,24,-0.0818,0.4963,-0.5245,-0.8974,1.694,-0.7771,0.7913,0.1494
Adrian Peterson,2018-2019,2018,WAS,WAS,1,33,-0.2847,-0.1815,-0.6447,0.1898,-0.2059,0.1145,-0.0127,-0.0965
Alvin Kamara,2018-2019,2018,NOR,NOR,1,23,0.4354,0.8771,0.0155,1.0853,0.4113,-0.2896,-0.0118,0.1113
Austin Ekeler,2018-2019,2018,LAC,LAC,1,23,1.163,0.1544,2.5964,0.3532,-0.4451,0.0185,0.2732,0.0485
Carlos Hyde,2018-2019,2018,CLE,HOU,0,28,0.3176,0.0904,0.5957,1.544,-1.6544,0.7922,-1.2127,-0.1063
Chris Carson,2018-2019,2018,SEA,SEA,1,24,0.2833,0.3522,0.5879,0.6108,-0.6579,0.0269,0.0213,-0.1715
Christian McCaffrey,2018-2019,2018,CAR,CAR,1,22,0.0458,-0.7488,-0.0684,-0.1621,0.5009,-0.318,0.2957,-0.0669
Dalvin Cook,2018-2019,2018,MIN,MIN,1,23,0.0395,0.0198,-0.4037,0.0484,0.8265,-0.5383,0.3355,-0.1638
Derrick Henry,2018-2019,2018,TEN,TEN,1,24,1.7651,1.1722,2.0637,2.6532,0.1618,-0.0025,0.6689,0.2591
Ezekiel Elliott,2018-2019,2018,DAL,DAL,1,23,-0.2042,0.134,-0.4501,-0.3506,0.4143,-0.0631,0.2623,-0.1739
Frank Gore,2018-2019,2018,MIA,BUF,0,35,-0.0295,-0.7882,0.4879,-0.0993,-0.877,-0.0506,-0.1812,-0.6646
Gus Edwards,2018-2019,2018,BAL,BAL,1,23,0.6145,0.4248,1.1242,-0.7088,1.2851,-0.501,0.7763,0.3839
Jamaal Williams,2018-2019,2018,GNB,GNB,1,23,-0.983,-0.6554,-0.5227,-1.0168,-1.7711,0.9751,-0.8476,-0.1448
James Conner,2018-2019,2018,PIT,PIT,1,23,0.1825,0.0332,-0.1272,0.6077,0.2296,0.2735,0.1635,0.2616
Joe Mixon,2018-2019,2018,CIN,CIN,1,22,-0.271,0.2265,0.2301,-1.5195,0.3251,-0.0602,0.3257,0.1413
Jordan Howard,2018-2019,2018,CHI,PHI,0,24,-0.728,-0.4899,-0.4253,-1.309,-0.5759,0.0626,-0.0947,0.0491
Kenyan Drake,2018-2019,2018,MIA,ARI,0,24,-0.2405,0.1123,-0.2559,0.0421,-0.5518,0.8117,-0.351,0.6134
Kerryon Johnson,2018-2019,2018,DET,DET,1,21,1.1284,-0.5272,0.2131,1.4121,2.4356,-1.3868,1.367,-0.3571
Latavius Murray,2018-2019,2018,MIN,NOR,0,28,-0.3489,-0.3596,-0.204,-0.5203,-0.4039,0.4516,-0.16,-0.1865
LeSean McCoy,2018-2019,2018,BUF,KAN,0,30,-1.2422,0.1416,-1.7077,-1.9248,0.4147,0.5878,-0.3261,0.4501
Leonard Fournette,2018-2019,2018,JAX,JAX,1,23,-1.0674,0.6621,-1.0429,-1.6043,-0.4673,0.3304,-0.1749,0.1821
Mark Ingram,2018-2019,2018,NOR,BAL,0,29,0.9766,0.4744,1.2301,1.7828,-0.447,0.2454,0.1106,0.0777
Marlon Mack,2018-2019,2018,IND,IND,1,22,-0.1996,-0.4922,-0.0218,-0.7026,0.084,-0.0208,0.1133,-0.1745
Matt Breida,2018-2019,2018,SFO,SFO,1,23,0.2614,-0.3889,-0.1716,0.1489,1.1758,-0.3375,0.4604,0.2443
Melvin Gordon,2018-2019,2018,LAC,LAC,1,25,1.1342,-0.7008,1.3684,1.456,0.3264,-0.1858,0.1039,-0.3934
Nick Chubb,2018-2019,2018,CLE,CLE,1,23,1.5658,1.0025,2.2094,1.2864,0.7424,-0.3299,0.6239,0.1447
Peyton Barber,2018-2019,2018,TAM,TAM,1,24,-0.0998,-0.9515,-0.5578,0.372,0.1584,-0.2777,0.1749,-0.5415
Phillip Lindsay,2018-2019,2018,DEN,DEN,1,24,-0.3005,0.3559,-1.357,-0.6774,2.0534,-0.6295,0.5106,0.2878
Royce Freeman,2018-2019,2018,DEN,DEN,1,22,0.1146,-0.9484,0.8326,1.5534,-2.9043,0.8733,-0.8828,-0.4681
Saquon Barkley,2018-2019,2018,NYG,NYG,1,21,1.1533,0.5765,1.5323,1.2958,0.3002,-0.0458,0.3154,0.373
Sony Michel,2018-2019,2018,NWE,NWE,1,23,-0.3321,-0.9105,-0.1757,-0.6617,-0.2182,-0.0278,0.1778,-0.2077
Tevin Coleman,2018-2019,2018,ATL,SFO,0,25,-0.608,-1.6675,-0.7782,-1.1864,0.3923,-0.651,0.2404,-0.85
Todd Gurley,2018-2019,2018,LAR,LAR,1,24,0.2165,-0.3058,0.5908,-0.2281,0.0762,0.0976,-0.1133,0.0466
Aaron Jones,2019-2020,2019,GNB,GNB,1,25,0.4963,0.8792,-0.0555,1.7645,-0.0324,0.0547,0.1494,0.4374
Adrian Peterson,2019-2020,2019,WAS,DET,0,34,-0.1815,-0.8505,0.6131,-1.4758,-0.0587,-0.26,-0.0965,-0.187
Alvin Kamara,2019-2020,2019,NOR,NOR,1,24,0.8771,0.5037,0.3059,2.8404,-0.4506,0.3106,0.1113,0.3287
Austin Ekeler,2019-2020,2019,LAC,LAC,1,24,0.1544,0.6927,0.549,0.35,-0.7908,0.4216,0.0485,0.6615
Benny Snell Jr.,2019-2020,2019,PIT,PIT,1,21,0.2529,-1.021,1.287,-0.4758,-0.7341,-0.3264,0.2061,-0.5046
Chris Carson,2019-2020,2019,SEA,SEA,1,25,0.3522,0.2601,0.9614,0.6602,-1.1137,0.6499,-0.1715,0.4785
Dalvin Cook,2019-2020,2019,MIN,MIN,1,24,0.0198,0.7505,0.3925,0.0051,-0.6333,0.2581,-0.1638,0.0911
David Montgomery,2019-2020,2019,CHI,CHI,1,22,-0.25,0.6974,-1.2945,1.1348,-0.0317,-0.094,0.1156,-0.031
Derrick Henry,2019-2020,2019,TEN,TEN,1,25,1.1722,1.0065,2.192,0.5019,0.1408,0.0102,0.2591,0.2026
Devin Singletary,2019-2020,2019,BUF,BUF,1,22,1.2756,0.3846,0.4222,1.6664,2.3426,-0.9438,0.8595,-0.0824
Ezekiel Elliott,2019-2020,2019,DAL,DAL,1,24,0.134,-0.1884,0.1079,-0.0044,0.3469,-0.1127,-0.1739,-0.0729
Frank Gore,2019-2020,2019,BUF,NYJ,0,36,-0.7882,-0.8814,-0.3662,-0.6214,-1.7478,0.119,-0.6646,-0.3929
Gus Edwards,2019-2020,2019,BAL,BAL,1,24,0.4248,0.3561,1.376,-0.8619,0.2566,-0.4107,0.3839,-0.1919
Jamaal Williams,2019-2020,2019,GNB,GNB,1,24,-0.6554,-0.8097,-0.9578,-1.0486,0.3609,-0.2773,-0.1448,-0.8114
James Conner,2019-2020,2019,PIT,PIT,1,24,0.0332,0.3859,0.1716,-1.1625,1.2189,-0.0478,0.2616,0.4464
Joe Mixon,2019-2020,2019,CIN,CIN,1,23,0.2265,-1.0996,0.2506,0.2045,0.2094,-0.0463,0.1413,-0.325
Josh Jacobs,2019-2020,2019,OAK,LVR,0,21,0.8722,-0.414,1.3654,0.8722,-0.0156,-0.2311,0.4282,-0.2233
Kenyan Drake,2019-2020,2019,ARI,ARI,1,25,0.1123,-0.712,-0.4419,-0.4695,1.8082,-0.6403,0.6134,-0.161
Latavius Murray,2019-2020,2019,NOR,NOR,1,29,-0.3596,-0.8579,-1.144,-0.1436,0.7931,-0.3713,-0.1865,-0.1621
Melvin Gordon,2019-2020,2019,LAC,DEN,0,26,-0.7008,-0.1292,-0.7886,-0.9632,-0.2281,-0.0423,-0.3934,0.0995
Miles Sanders,2019-2020,2019,PHI,PHI,1,22,0.1427,0.1014,-0.2739,0.3026,0.7007,0.0579,0.2071,0.4305
Nick Chubb,2019-2020,2019,CLE,CLE,1,24,1.0025,1.4367,1.6704,0.8722,-0.0433,0.4724,0.1447,0.6945
Phillip Lindsay,2019-2020,2019,DEN,DEN,1,25,0.3559,-0.9506,-0.8563,1.5715,1.0793,-0.203,0.2878,-0.2323
Raheem Mostert,2019-2020,2019,SFO,SFO,1,27,0.3704,-0.229,-0.0872,0.2456,1.3439,0.3435,0.8143,0.6719
Ronald Jones II,2019-2020,2019,TAM,TAM,1,22,0.9225,0.7661,0.4564,1.7044,0.8232,-0.2012,0.6158,0.5245
Todd Gurley,2019-2020,2019,LAR,ATL,0,25,-0.3058,-0.4113,-1.1766,0.4545,0.3493,-0.423,0.0466,-0.4402
Aaron Jones,2020-2021,2020,GNB,GNB,1,26,0.8792,0.4005,1.9531,-0.1023,0.1238,0.0895,0.4374,0.2863
Alvin Kamara,2020-2021,2020,NOR,NOR,1,25,0.5037,-0.2254,0.0034,1.1819,0.5906,0.0597,0.3287,0.164
Antonio Gibson,2020-2021,2020,WAS,WAS,1,22,0.7397,-0.1093,-0.3089,1.826,1.3237,-0.4792,0.6134,-0.069
Austin Ekeler,2020-2021,2020,LAC,LAC,1,25,0.6927,-0.0995,0.1152,1.6046,0.6378,-0.3503,0.6615,0.1541
Clyde Edwards-Helaire,2020-2021,2020,KAN,KAN,1,21,0.0874,-0.3877,-0.1215,0.4291,0.0536,0.0356,0.2086,0.096
D'Andre Swift,2020-2021,2020,DET,DET,1,21,-0.1479,-0.6195,-1.2669,0.2681,1.3671,-0.3475,0.5114,-0.0976
Dalvin Cook,2020-2021,2020,MIN,MIN,1,25,0.7505,0.0956,0.638,1.351,0.2323,0.2593,0.0911,0.3345
Damien Harris,2020-2021,2020,NWE,NWE,1,23,0.2863,0.4473,-0.6481,0.6183,1.5697,-0.3247,0.2197,0.099
Darrell Henderson,2020-2021,2020,LAR,LAR,1,23,-0.3043,-0.3799,-0.318,-0.5733,0.043,0.3366,0.178,0.4207
David Montgomery,2020-2021,2020,CHI,CHI,1,23,0.6974,-0.3929,0.5514,1.8179,-0.3845,-0.1691,-0.031,-0.1562
Derrick Henry,2020-2021,2020,TEN,TEN,1,26,1.0065,-0.1716,1.6844,0.7109,0.1409,-0.2268,0.2026,-0.0859
Devin Singletary,2020-2021,2020,BUF,BUF,1,23,0.3846,0.4754,1.7841,-0.5853,-0.9707,0.4257,-0.0824,0.3051
Ezekiel Elliott,2020-2021,2020,DAL,DAL,1,25,-0.1884,-0.8223,-0.087,-0.4324,-0.0782,-0.1628,-0.0729,-0.4487
Jamaal Williams,2020-2021,2020,GNB,DET,0,25,-0.8097,-0.7174,-0.639,-1.2174,-0.6278,0.1824,-0.8114,-0.2556
James Conner,2020-2021,2020,PIT,ARI,0,25,0.3859,-0.1777,-0.4572,1.1416,0.9968,-0.9548,0.4464,-0.4185
James Robinson,2020-2021,2020,JAX,JAX,1,22,0.3213,0.1363,0.9891,-0.223,-0.2274,0.4053,0.0455,0.4809
Joe Mixon,2020-2021,2020,CIN,CIN,1,24,-1.0996,-0.2125,-1.1893,-1.8937,0.0146,-0.0265,-0.325,-0.0395
Jonathan Taylor,2020-2021,2020,IND,IND,1,21,0.055,1.0192,-0.2646,-0.3035,1.0605,-0.2706,0.4349,0.2823
Josh Jacobs,2020-2021,2020,LVR,LVR,1,22,-0.414,0.1285,-0.4829,0.0427,-0.8379,0.0712,-0.2233,-0.0019
Latavius Murray,2020-2021,2020,NOR,BAL,0,30,-0.8579,-0.2173,-0.4104,-1.8051,-0.5268,0.0487,-0.1621,0.0076
Melvin Gordon,2020-2021,2020,DEN,DEN,1,27,-0.1292,0.5459,-0.123,0.0869,-0.3995,0.0856,0.0995,0.0113
