year,player,ngs_team,att,ryoe,ryoe_att
2018,Ezekiel Elliott,DAL,304,135,0.45
2018,Saquon Barkley,NYG,261,395,1.54
2018,Todd Gurley,LAR,256,-23,-0.09
2018,Joe Mixon,CIN,237,174,0.75
2018,Chris Carson,SEA,247,110,0.45
2018,Christian McCaffrey,CAR,219,89,0.41
2018,Derrick Henry,TEN,215,236,1.11
2018,Phillip Lindsay,DEN,192,181,0.98
2018,Adrian Peterson,WAS,251,61,0.25
2018,Nick Chubb,CLE,192,195,1.04
2018,James Conner,PIT,215,118,0.56
2018,Lamar Miller,HOU,210,130,0.62
2018,David Johnson,AZ,258,-56,-0.22
2018,Jordan Howard,CHI,250,-113,-0.45
2018,Sony Michel,NE,209,-60,-0.3
2018,Marlon Mack,IND,195,39,0.2
2018,Melvin Gordon,LAC,175,-1,-0.01
2018,Alvin Kamara,NO,194,-82,-0.43
2018,Peyton Barber,TB,234,-1,-0.01
2018,Kareem Hunt,KC,181,94,0.53
2018,Matt Breida,SF,153,90,0.61
2018,Tevin Coleman,ATL,167,-25,-0.15
2018,Aaron Jones,GB,133,86,0.66
2018,Doug Martin,LV,172,5,0.03
2018,Frank Gore,MIA,156,53,0.34
2018,Gus Edwards,BAL,137,46,0.34
2018,Isaiah Crowell,NYJ,143,134,0.94
2018,Mark Ingram,NO,138,68,0.51
2018,Kerryon Johnson,DET,118,152,1.29
2018,Dalvin Cook,MIN,133,21,0.16
2018,Latavius Murray,MIN,140,37,0.27
2018,Carlos Hyde,JAX,172,-94,-0.58
2018,Austin Ekeler,LAC,106,7,0.06
2018,Kenyan Drake,MIA,120,13,0.11
2018,Mike Davis,SEA,112,48,0.43
2018,Royce Freeman,DEN,130,-3,-0.03
2018,Dion Lewis,TEN,155,-64,-0.41
2018,LeSean McCoy,BUF,161,-165,-1.05
2018,Josh Adams,PHI,120,-18,-0.15
2018,Alfred Blue,HOU,150,-50,-0.34
2018,Jamaal Williams,GB,121,-64,-0.53
2018,Tarik Cohen,CHI,99,-41,-0.43
2018,Leonard Fournette,JAX,133,-25,-0.19
2018,Alfred Morris,SF,111,-58,-0.53
2018,James White,NE,94,-7,-0.08
2018,Rashaad Penny,SEA,85,56,0.66
2018,LeGarrette Blount,DET,154,-152,-0.98
2018,T.J. Yeldon,JAX,104,4,0.03
2018,Alex Collins,BAL,114,-39,-0.36
2018,Chris Ivory,BUF,115,-53,-0.47
2018,Marshawn Lynch,LV,90,-3,-0.03
2018,Wendell Smallwood,PHI,87,-42,-0.48
2018,Ito Smith,ATL,90,-47,-0.54
2018,Nyheim Hines,IND,85,-74,-0.88
2018,Elijah McGuire,NYJ,92,-45,-0.5
2019,Derrick Henry,TEN,303,326,1.13
2019,Nick Chubb,CLE,298,284,0.96
2019,Christian McCaffrey,CAR,287,212,0.74
2019,Ezekiel Elliott,DAL,301,119,0.4
2019,Chris Carson,SEA,278,99,0.36
2019,Leonard Fournette,JAX,265,102,0.39
2019,Josh Jacobs,LV,242,159,0.67
2019,Joe Mixon,CIN,278,-28,-0.1
2019,Dalvin Cook,MIN,250,93,0.38
2019,Marlon Mack,IND,247,4,0.02
2019,Aaron Jones,GB,236,84,0.36
2019,Carlos Hyde,HOU,245,108,0.44
2019,Mark Ingram,BAL,202,29,0.15
2019,Phillip Lindsay,DEN,224,28,0.13
2019,Saquon Barkley,NYG,217,106,0.49
2019,Sony Michel,NE,247,-69,-0.28
2019,Adrian Peterson,WAS,211,101,0.49
2019,David Montgomery,CHI,242,-53,-0.22
2019,Todd Gurley,LAR,223,-193,-0.87
2019,Miles Sanders,PHI,179,-55,-0.31
2019,Kenyan Drake,AZ,170,39,0.23
2019,Alvin Kamara,NO,171,29,0.17
2019,Le'Veon Bell,NYJ,245,-126,-0.52
2019,Devin Singletary,BUF,151,59,0.4
2019,Raheem Mostert,SF,137,38,0.29
2019,Ronald Jones,TB,172,13,0.08
2019,Gus Edwards,BAL,133,73,0.56
2019,Devonta Freeman,ATL,184,-219,-1.22
2019,Latavius Murray,NO,146,0,0
2019,Matt Breida,SF,123,0,0
2019,Melvin Gordon,LAC,162,-62,-0.39
2019,Frank Gore,BUF,166,-65,-0.4
2019,Austin Ekeler,LAC,132,-82,-0.64
2019,Tevin Coleman,SF,137,-1,-0.01
2019,Jordan Howard,PHI,119,-10,-0.08
2019,Damien Williams,KC,111,59,0.54
2019,Royce Freeman,DEN,132,-125,-0.98
2019,Peyton Barber,TB,154,-88,-0.58
2019,LeSean McCoy,KC,101,-22,-0.23
2019,James Conner,PIT,116,-35,-0.31
2019,Alexander Mattison,MIN,100,35,0.36
2019,Jamaal Williams,GB,107,-9,-0.08
2019,Tony Pollard,DAL,86,89,1.09
2019,Benny Snell,PIT,108,52,0.48
2019,Kerryon Johnson,DET,113,-56,-0.51
2019,DeAndre Washington,LV,108,-105,-0.98
2019,Bo Scarbrough,DET,89,-24,-0.28
2019,David Johnson,AZ,94,-64,-0.68
2020,Derrick Henry,TEN,378,367,1
2020,Dalvin Cook,MIN,312,171,0.55
2020,Jonathan Taylor,IND,232,151,0.66
2020,Aaron Jones,GB,201,128,0.64
2020,James Robinson,JAX,240,40,0.17
2020,David Montgomery,CHI,247,52,0.21
2020,Nick Chubb,CLE,190,295,1.58
2020,Josh Jacobs,LV,273,-8,-0.03
2020,Melvin Gordon,DEN,215,6,0.03
2020,Ezekiel Elliott,DAL,244,8,0.03
2020,Ronald Jones,TB,192,189,0.99
2020,Kenyan Drake,AZ,239,-64,-0.27
2020,Alvin Kamara,NO,187,77,0.42
2020,Miles Sanders,PHI,164,8,0.05
2020,Kareem Hunt,CLE,198,36,0.18
2020,J.K. Dobbins,BAL,134,196,1.47
2020,Clyde Edwards-Helaire,KC,181,-111,-0.63
2020,Antonio Gibson,WAS,170,35,0.21
2020,Gus Edwards,BAL,144,125,0.88
2020,James Conner,PIT,169,-10,-0.06
2020,Damien Harris,NE,137,40,0.29
2020,David Johnson,HOU,147,60,0.41
2020,Devin Singletary,BUF,156,37,0.24
2020,Wayne Gallman,NYG,147,79,0.55
2020,Chris Carson,SEA,141,24,0.18
2020,Todd Gurley,ATL,195,-103,-0.54
2020,Latavius Murray,NO,146,14,0.1
2020,Frank Gore,NYJ,187,-92,-0.5
2020,Mike Davis,CAR,165,11,0.07
2020,Cam Akers,LAR,145,-39,-0.28
2020,Darrell Henderson,LAR,138,2,0.01
2020,Adrian Peterson,DET,156,-78,-0.5
2020,Jeffery Wilson,SF,126,5,0.04
2020,Myles Gaskin,MIA,142,19,0.14
2020,Austin Ekeler,LAC,116,11,0.1
2020,Raheem Mostert,SF,104,52,0.51
2020,D'Andre Swift,DET,114,11,0.1
2020,Jamaal Williams,GB,119,21,0.18
2020,Phillip Lindsay,DEN,118,10,0.09
2020,Zack Moss,BUF,112,1,0.01
2020,Brian Hill,ATL,100,-11,-0.12
2020,Chase Edmonds,AZ,97,-2,-0.02
2020,Tony Pollard,DAL,101,13,0.13
2020,Alexander Mattison,MIN,96,52,0.55
2020,Joe Mixon,CIN,119,-29,-0.25
2020,Devontae Booker,LV,93,46,0.5
2020,Malcolm Brown,LAR,101,-54,-0.55
2020,Giovani Bernard,CIN,124,-98,-0.8
2020,Nyheim Hines,IND,89,-7,-0.08
2020,Benny Snell,PIT,111,-43,-0.39
2020,Leonard Fournette,TB,97,-25,-0.27
2020,J.D. McKissic,WAS,85,-52,-0.61
2020,Joshua Kelley,LAC,111,-80,-0.76
2020,Kalen Ballage,LAC,91,-51,-0.57
2020,Peyton Barber,WAS,94,-75,-0.79
2021,Jonathan Taylor,IND,332,390,1.19
2021,Nick Chubb,CLE,228,255,1.13
2021,Joe Mixon,CIN,292,-21,-0.07
2021,Najee Harris,PIT,307,-81,-0.27
2021,Dalvin Cook,MIN,249,38,0.16
2021,Antonio Gibson,WAS,258,1,0.01
2021,Ezekiel Elliott,DAL,237,-45,-0.19
2021,Elijah Mitchell,SF,207,57,0.28
2021,Derrick Henry,TEN,219,25,0.11
2021,Damien Harris,NE,202,111,0.57
2021,Melvin Gordon,DEN,203,74,0.37
2021,Austin Ekeler,LAC,206,-11,-0.06
2021,Javonte Williams,DEN,203,11,0.06
2021,Alvin Kamara,NO,240,-140,-0.59
2021,Josh Jacobs,LV,217,-13,-0.06
2021,Devin Singletary,BUF,188,17,0.09
2021,David Montgomery,CHI,225,-80,-0.36
2021,Sony Michel,LAR,208,-54,-0.26
2021,Leonard Fournette,TB,180,48,0.27
2021,A.J. Dillon,GB,187,47,0.25
2021,Aaron Jones,GB,171,49,0.29
2021,James Robinson,JAX,164,-16,-0.1
2021,Miles Sanders,PHI,137,37,0.27
2021,James Conner,AZ,202,-66,-0.33
2021,Rashaad Penny,SEA,119,217,1.86
2021,Tony Pollard,DAL,130,103,0.81
2021,Darrell Henderson,LAR,149,-47,-0.32
2021,Michael Carter,NYJ,147,70,0.48
2021,Cordarrelle Patterson,ATL,153,-9,-0.06
2021,D'Andre Swift,DET,151,-59,-0.39
2021,Chuba Hubbard,CAR,172,-101,-0.6
2021,Myles Gaskin,MIA,173,-115,-0.67
2021,Rhamondre Stevenson,NE,133,68,0.51
2021,Jamaal Williams,DET,153,-50,-0.33
2021,Devontae Booker,NYG,145,-35,-0.24
2021,Saquon Barkley,NYG,162,-45,-0.28
2021,Chase Edmonds,AZ,116,8,0.07
2021,Devonta Freeman,BAL,133,-65,-0.49
2021,D'Onta Foreman,TEN,133,11,0.08
2021,Darrel Williams,KC,144,-82,-0.59
2021,Mark Ingram,NO,160,-55,-0.35
2021,D'Ernest Johnson,CLE,100,140,1.42
2021,Clyde Edwards-Helaire,KC,119,-40,-0.34
2021,Mike Davis,ATL,138,-85,-0.62
2021,Latavius Murray,BAL,119,8,0.07
2021,Alexander Mattison,MIN,134,-74,-0.55
2021,Christian McCaffrey,CAR,99,-6,-0.06
2021,Khalil Herbert,CHI,103,-14,-0.14
2021,Ronald Jones,TB,101,-18,-0.18
2021,Rex Burkhead,HOU,122,-26,-0.22
2021,Alex Collins,SEA,108,-90,-0.85
2021,Zack Moss,BUF,96,-75,-0.78
2022,Josh Jacobs,LV,340,158,0.47
2022,Derrick Henry,TEN,349,92,0.27
2022,Nick Chubb,CLE,302,284,0.94
2022,Saquon Barkley,NYG,295,115,0.4
2022,Miles Sanders,PHI,259,94,0.37
2022,Dalvin Cook,MIN,264,-21,-0.08
2022,Christian McCaffrey,SF,244,47,0.2
2022,Travis Etienne,JAX,220,231,1.06
2022,Aaron Jones,GB,213,88,0.43
2022,Jamaal Williams,DET,262,-11,-0.04
2022,Kenneth Walker,SEA,228,96,0.43
2022,Rhamondre Stevenson,NE,210,118,0.58
2022,Tyler Allgeier,ATL,210,134,0.65
2022,Najee Harris,PIT,272,-116,-0.43
2022,Tony Pollard,DAL,193,226,1.17
2022,Dameon Pierce,HOU,220,45,0.2
2022,Austin Ekeler,LAC,204,83,0.42
2022,D'Onta Foreman,CAR,203,122,0.61
2022,Alvin Kamara,NO,223,-38,-0.17
2022,Raheem Mostert,MIA,181,-18,-0.1
2022,Ezekiel Elliott,DAL,231,-77,-0.34
2022,Jonathan Taylor,IND,192,126,0.66
2022,Jeffery Wilson,MIA,176,69,0.4
2022,Isiah Pacheco,KC,170,72,0.43
2022,Devin Singletary,BUF,177,28,0.16
2022,Joe Mixon,CIN,210,43,0.21
2022,David Montgomery,CHI,201,-53,-0.26
2022,Brian Robinson,WAS,205,13,0.06
2022,Cam Akers,LAR,188,-14,-0.08
2022,James Conner,AZ,183,-1,0
2022,A.J. Dillon,GB,186,-35,-0.19
2022,Latavius Murray,DEN,171,-11,-0.07
2022,Khalil Herbert,CHI,129,165,1.29
2022,Cordarrelle Patterson,ATL,144,87,0.62
2022,Leonard Fournette,TB,189,-135,-0.72
2022,Antonio Gibson,WAS,149,-28,-0.19
2022,D'Andre Swift,DET,99,37,0.38
2022,J.K. Dobbins,BAL,92,95,1.05
2022,Kenyan Drake,BAL,109,12,0.11
2022,Rachaad White,TB,129,-30,-0.23
2022,Kareem Hunt,CLE,123,-10,-0.08
2022,Chuba Hubbard,CAR,95,35,0.37
2022,Damien Harris,NE,106,33,0.32
2022,Zack Moss,IND,93,26,0.28
2022,James Robinson,NYJ,110,-45,-0.41
2022,Michael Carter,NYJ,114,-64,-0.59
2022,Samaje Perine,CIN,95,-21,-0.22
2022,Melvin Gordon,KC,90,-67,-0.76
2023,Christian McCaffrey,SF,272,355,1.34
2023,Derrick Henry,TEN,280,84,0.31
2023,Kyren Williams,LAR,228,147,0.65
2023,James Cook,BUF,237,105,0.45
2023,D'Andre Swift,PHI,229,-65,-0.29
2023,James Conner,AZ,208,211,1.02
2023,Najee Harris,PIT,255,79,0.31
2023,Joe Mixon,CIN,257,6,0.02
2023,David Montgomery,DET,219,62,0.29
2023,Raheem Mostert,MIA,209,126,0.61
2023,Travis Etienne,JAX,267,-77,-0.29
2023,Tony Pollard,DAL,252,-34,-0.14
2023,Breece Hall,NYJ,223,146,0.67
2023,Rachaad White,TB,272,-115,-0.43
2023,Bijan Robinson,ATL,214,82,0.39
2023,Saquon Barkley,NYG,247,93,0.39
2023,Jahmyr Gibbs,DET,182,72,0.4
2023,Isiah Pacheco,KC,205,91,0.45
2023,Kenneth Walker,SEA,219,-27,-0.13
2023,Chuba Hubbard,CAR,238,46,0.19
2023,Devin Singletary,HOU,216,33,0.15
2023,Jerome Ford,CLE,204,-4,-0.02
2023,Gus Edwards,BAL,198,51,0.26
2023,Josh Jacobs,LV,233,-86,-0.37
2023,Devon Achane,MIA,103,269,2.75
2023,Zack Moss,IND,183,129,0.71
2023,Jaylen Warren,PIT,149,148,1
2023,Javonte Williams,DEN,217,-83,-0.38
2023,Jonathan Taylor,IND,169,54,0.32
2023,Brian Robinson,WAS,178,38,0.22
2023,Alexander Mattison,MIN,180,-45,-0.25
2023,Alvin Kamara,NO,180,-99,-0.56
2023,Tyler Allgeier,ATL,186,-60,-0.33
2023,Aaron Jones,GB,142,16,0.12
2023,Ezekiel Elliott,NE,184,-71,-0.39
2023,Austin Ekeler,LAC,179,-48,-0.27
2023,Rhamondre Stevenson,NE,156,-18,-0.12
2023,A.J. Dillon,GB,178,-64,-0.36
2023,Khalil Herbert,CHI,132,38,0.29
2023,Zach Charbonnet,SEA,108,19,0.18
2023,Tyjae Spears,TEN,100,-14,-0.15
2023,Zamir White,LV,104,34,0.33
2023,Miles Sanders,CAR,129,-54,-0.42
2023,D'Onta Foreman,CHI,109,-11,-0.1
2023,Dameon Pierce,HOU,145,-83,-0.59
2023,Ty Chandler,MIN,100,-14,-0.14
2023,Kareem Hunt,CLE,135,-101,-0.75
2023,Joshua Kelley,LAC,107,-25,-0.24
2023,Jamaal Williams,NO,106,-102,-0.98
2024,Saquon Barkley,PHI,345,546,1.61
2024,Derrick Henry,BAL,325,562,1.77
2024,Bijan Robinson,ATL,304,199,0.68
2024,Jonathan Taylor,IND,303,194,0.65
2024,Jahmyr Gibbs,DET,250,218,0.88
2024,Josh Jacobs,GB,301,217,0.73
2024,Kyren Williams,LAR,316,0,0
2024,Chuba Hubbard,CAR,250,270,1.11
2024,Aaron Jones,MIN,255,42,0.17
2024,Bucky Irving,TB,207,186,0.94
2024,James Conner,AZ,236,110,0.48
