year,player,team,age,att,ybc_total,yac_total,brk
2018,Ezekiel Elliott,DAL,23,304,839,595,19
2018,Saquon Barkley,NYG,21,261,571,736,30
2018,David Johnson,ARI,27,258,531,409,9
2018,Todd Gurley,LAR,24,256,634,617,17
2018,Adrian Peterson,WAS,33,251,572,470,20
2018,Jordan Howard,CHI,24,250,443,492,8
2018,Chris Carson,SEA,24,247,556,595,23
2018,Joe Mixon,CIN,22,237,634,534,6
2018,Peyton Barber,TAM,24,234,424,447,20
2018,Christian McCaffrey,CAR,22,219,633,465,15
2018,James Conner,PIT,23,215,522,451,20
2018,Derrick Henry,TEN,24,215,403,656,34
2018,Lamar Miller,HOU,27,210,472,501,11
2018,Sony Michel,NWE,23,209,497,434,11
2018,Marlon Mack,IND,22,195,490,418,10
2018,Alvin Kamara,NOR,23,194,464,419,21
2018,Nick Chubb,CLE,23,192,398,598,22
2018,Phillip Lindsay,DEN,24,192,737,300,10
2018,Kareem Hunt,KAN,23,181,387,437,18
2018,Melvin Gordon,LAC,25,175,404,481,21
2018,Doug Martin,OAK,29,172,376,347,10
2018,Carlos Hyde,CLE,28,114,107,275,14
2018,Carlos Hyde,JAX,28,58,103,86,6
2018,Tevin Coleman,ATL,25,167,497,303,6
2018,LeSean McCoy,BUF,30,161,287,227,2
2018,Frank Gore,MIA,35,156,353,369,11
2018,Dion Lewis,TEN,28,155,259,258,16
2018,LeGarrette Blount,DET,32,154,170,248,7
2018,Matt Breida,SFO,23,153,496,318,12
2018,Alfred Blue,HOU,27,150,307,192,7
2018,Isaiah Crowell,NYJ,25,143,299,386,12
2018,Latavius Murray,MIN,28,140,289,289,8
2018,Mark Ingram,NOR,29,138,274,371,18
2018,Gus Edwards,BAL,23,137,356,362,7
2018,Dalvin Cook,MIN,23,133,352,263,10
2018,Leonard Fournette,JAX,23,133,213,226,3
2018,Aaron Jones,GNB,24,133,472,256,6
2018,Royce Freeman,DEN,22,130,194,327,16
2018,Jamaal Williams,GNB,23,121,231,233,5
2018,Josh Adams,PHI,22,120,256,255,8
2018,Kenyan Drake,MIA,24,120,290,245,9
2018,Kerryon Johnson,DET,21,118,376,265,14
2018,Chris Ivory,BUF,30,115,116,269,8
2018,Alex Collins,BAL,24,114,193,218,10
2018,Mike Davis,SEA,25,112,328,186,7
2018,Alfred Morris,SFO,30,111,211,217,9
2018,Austin Ekeler,LAC,23,106,206,348,9
2018,T.J. Yeldon,JAX,25,104,229,185,5
2018,Tarik Cohen,CHI,23,99,301,143,9
2018,James White,NWE,26,94,298,127,3
2018,Elijah McGuire,NYJ,24,92,100,176,5
2018,Marshawn Lynch,OAK,32,90,90,286,6
2018,Ito Smith,ATL,23,90,169,146,8
2018,Wendell Smallwood,PHI,24,87,186,178,5
2018,Nyheim Hines,IND,22,85,163,151,3
2018,Rashaad Penny,SEA,22,85,271,148,7
2018,Bilal Powell,NYJ,30,80,183,160,4
2018,Corey Clement,PHI,24,68,112,147,2
2018,C.J. Anderson,CAR,27,24,68,36,0
2018,C.J. Anderson,LAR,27,43,120,179,1
2018,Jeff Wilson,SFO,23,66,131,135,4
2018,Kenneth Dixon,BAL,24,60,119,214,10
2018,Chase Edmonds,ARI,22,60,115,93,4
2018,Jordan Wilkins,IND,24,60,203,133,2
2018,Rex Burkhead,NWE,28,57,93,93,2
2018,Giovani Bernard,CIN,27,56,124,87,1
2018,Jaylen Samuels,PIT,22,56,148,108,2
2018,Jalen Richard,OAK,25,55,120,139,8
2018,Zach Zenner,DET,27,55,114,151,2
2018,Marcus Murphy,BUF,27,52,103,147,11
