year,player,team,age,g,rush_att,rush_yds,rush_td,targets,rec,rec_yds,rec_td,fmb,ppr
2018,Todd Gurley,LAR,24,14,256,1251,17,81,59,580,4,1,372.1
2018,Saquon Barkley,NYG,21,16,261,1307,11,121,91,721,4,0,385.8
2018,Christian McCaffrey,CAR,22,16,219,1098,7,124,107,867,6,1,385.5
2018,Alvin Kamara,NOR,23,15,194,883,14,105,81,709,4,0,354.2
2018,Ezekiel Elliott,DAL,23,15,304,1434,6,95,77,567,3,1,329.1
2018,Melvin Gordon,LAC,25,12,175,885,10,66,50,490,4,0,275.5
2018,James Conner,PIT,23,13,215,973,12,71,55,497,1,2,280
2018,Kareem Hunt,KAN,23,11,181,824,7,35,26,378,7,0,230.2
2018,Joe Mixon,CIN,22,14,237,1168,8,55,43,296,1,0,243.4
2018,David Johnson,ARI,27,16,258,940,7,76,50,446,3,2,246.6
2018,James White,NWE,26,16,94,425,5,123,87,751,7,0,276.6
2018,Phillip Lindsay,DEN,24,15,192,1037,9,47,35,241,1,0,222.8
2018,Derrick Henry,TEN,24,16,215,1059,12,18,15,99,0,1,201.4
2018,Chris Carson,SEA,24,14,247,1151,9,24,20,163,0,2,201.4
2018,Nick Chubb,CLE,23,16,192,996,8,29,20,149,2,0,194.5
2018,Adrian Peterson,WAS,33,16,251,1042,7,26,20,208,1,2,189
2018,Tarik Cohen,CHI,23,16,99,444,3,91,71,725,5,3,233.9
2018,Tevin Coleman,ATL,25,16,167,800,4,44,32,276,5,0,193.6
2018,Marlon Mack,IND,22,12,195,908,9,26,17,103,1,2,178.1
2018,Jordan Howard,CHI,24,16,250,935,9,26,20,145,0,1,180
2018,Kenyan Drake,MIA,24,16,120,535,4,73,53,477,5,1,206.2
2018,Lamar Miller,HOU,27,14,210,973,5,35,25,163,1,1,172.6
2018,Aaron Jones,GNB,24,12,133,728,8,35,26,206,1,1,171.4
2018,Matt Breida,SFO,23,14,153,814,3,31,27,261,2,1,162.5
2018,Sony Michel,NWE,23,13,209,931,6,11,7,50,0,1,139.1
2018,Peyton Barber,TAM,24,16,234,871,5,29,20,92,1,1,150.3
2018,Austin Ekeler,LAC,23,14,106,554,3,53,39,404,3,1,168.8
2018,Mark Ingram,NOR,29,12,138,645,6,27,21,170,1,1,142.5
2018,Isaiah Crowell,NYJ,25,13,143,685,6,28,21,152,0,0,140.7
2018,T.J. Yeldon,JAX,25,14,104,414,1,78,55,487,4,1,173.1
2018,Dalvin Cook,MIN,23,11,133,615,2,49,40,305,2,2,152
2018,Latavius Murray,MIN,28,16,140,578,6,26,22,141,0,0,131.9
2018,Kerryon Johnson,DET,21,10,118,641,3,39,32,213,1,1,139.4
2018,Dion Lewis,TEN,28,16,155,517,1,67,59,400,1,1,160.7
2018,Doug Martin,OAK,29,16,172,723,4,24,18,116,0,3,119.9
2018,Leonard Fournette,JAX,23,8,133,439,5,26,22,185,1,0,120.4
2018,Nyheim Hines,IND,22,16,85,314,2,81,63,425,2,0,160.9
2018,Alex Collins,BAL,24,10,114,411,7,21,15,105,1,3,108.6
2018,LeSean McCoy,BUF,30,14,161,514,3,46,34,238,0,0,127.2
2018,Frank Gore,MIA,35,14,156,722,0,16,12,124,1,0,102.6
2018,Jalen Richard,OAK,25,16,55,259,1,81,68,607,0,2,156.6
2018,Wendell Smallwood,PHI,24,16,87,364,3,35,28,230,2,1,117.4
2018,Gus Edwards,BAL,23,11,137,718,2,2,2,20,0,0,89.8
2018,Carlos Hyde,2TM,28,14,172,571,5,16,10,33,0,1,98.4
2018,Royce Freeman,DEN,22,14,130,521,5,20,14,72,0,1,101.3
2018,Jamaal Williams,GNB,23,16,121,464,3,41,27,210,0,0,114.4
2018,Duke Johnson,CLE,25,16,40,201,0,62,47,429,3,0,132
2018,LeGarrette Blount,DET,32,16,154,418,5,15,10,67,0,1,86.5
2018,Alfred Blue,HOU,27,16,150,499,2,27,20,154,0,0,97.3
2018,Damien Williams,KAN,26,16,50,256,4,24,23,160,2,1,98.6
2018,Josh Adams,PHI,22,14,120,511,3,13,7,58,0,1,81.9
2018,Ito Smith,ATL,23,14,90,315,4,32,27,152,0,0,97.7
2018,Elijah McGuire,NYJ,24,8,92,276,3,31,19,193,1,2,85.9
2018,Chris Ivory,BUF,30,13,115,385,1,21,13,205,0,0,78
2018,Marshawn Lynch,OAK,32,6,90,376,3,20,15,84,0,0,79
2018,Jaylen Samuels,PIT,22,14,56,256,0,29,26,199,3,0,89.5
2018,C.J. Anderson,2TM,27,11,67,403,2,9,5,41,1,0,67.4
2018,Giovani Bernard,CIN,27,12,56,211,3,48,35,218,0,0,95.9
2018,Rashaad Penny,SEA,22,14,85,419,2,12,9,75,0,0,70.4
2018,Alfred Morris,SFO,30,12,111,428,2,13,8,73,0,1,68.1
2018,Javorius Allen,BAL,27,14,41,110,3,43,35,196,2,1,93.6
2018,Corey Clement,PHI,24,11,68,259,2,25,22,192,0,0,81.1
2018,Spencer Ware,KAN,27,13,51,246,2,23,20,224,0,0,79
2018,Theo Riddick,DET,27,14,40,171,0,74,61,384,0,0,116.5
2018,Chris Thompson,WAS,28,10,43,178,0,55,41,268,1,0,91.6
2018,Devontae Booker,DEN,26,16,34,183,1,51,38,275,0,1,87.8
2018,Zach Zenner,DET,27,8,55,265,3,10,7,56,0,0,57.1
