year,player,team,att,g,gs
2018,Ezekiel Elliott,DAL,304,15,15
2018,Saquon Barkley,NYG,261,16,16
2018,David Johnson,ARI,258,16,16
2018,Todd Gurley,LAR,256,14,14
2018,Adrian Peterson,WAS,251,16,16
2018,Jordan Howard,CHI,250,16,15
2018,Chris Carson,SEA,247,14,14
2018,Joe Mixon,CIN,237,14,13
2018,Peyton Barber,TAM,234,16,16
2018,Christian McCaffrey,CAR,219,16,16
2018,James Conner,PIT,215,13,12
2018,Derrick Henry,TEN,215,16,12
2018,Lamar Miller,HOU,210,14,14
2018,Sony Michel,NWE,209,13,8
2018,Marlon Mack,IND,195,12,10
2018,Alvin Kamara,NOR,194,15,13
2018,Nick Chubb,CLE,192,16,9
2018,Phillip Lindsay,DEN,192,15,8
2018,Kareem Hunt,KAN,181,11,11
2018,Melvin Gordon,LAC,175,12,12
2018,Doug Martin,OAK,172,16,9
2018,Carlos Hyde,CLE,114,6,5
2018,Tevin Coleman,ATL,167,16,14
2018,LeSean McCoy,BUF,161,14,13
2018,Frank Gore,MIA,156,14,14
2018,Dion Lewis,TEN,155,16,7
2018,LeGarrette Blount,DET,154,16,8
2018,Matt Breida,SFO,153,14,13
2018,Alfred Blue,HOU,150,16,2
2018,Isaiah Crowell,NYJ,143,13,6
2018,Latavius Murray,MIN,140,16,6
2018,Mark Ingram,NOR,138,12,6
2018,Gus Edwards,BAL,137,11,6
2018,Dalvin Cook,MIN,133,11,10
2018,Leonard Fournette,JAX,133,8,8
2018,Aaron Jones,GNB,133,12,8
2018,Royce Freeman,DEN,130,14,8
2018,Jamaal Williams,GNB,121,16,8
2018,Josh Adams,PHI,120,14,5
2018,Kenyan Drake,MIA,120,16,7
2018,Kerryon Johnson,DET,118,10,7
2018,Chris Ivory,BUF,115,13,1
2018,Alex Collins,BAL,114,10,10
2018,Mike Davis,SEA,112,15,2
2018,Alfred Morris,SFO,111,12,1
2018,Austin Ekeler,LAC,106,14,3
2018,T.J. Yeldon,JAX,104,14,5
2019,Derrick Henry,TEN,303,15,15
2019,Ezekiel Elliott,DAL,301,16,16
2019,Nick Chubb,CLE,298,16,16
2019,Christian McCaffrey,CAR,287,16,16
2019,Chris Carson,SEA,278,15,15
2019,Joe Mixon,CIN,278,16,15
2019,Leonard Fournette,JAX,265,15,15
2019,Dalvin Cook,MIN,250,14,14
2019,Marlon Mack,IND,247,14,12
2019,Sony Michel,NWE,247,16,14
2019,Le'Veon Bell,NYJ,245,15,15
2019,Carlos Hyde,HOU,245,16,14
2019,Josh Jacobs,OAK,242,13,13
2019,David Montgomery,CHI,242,16,8
2019,Aaron Jones,GNB,236,16,16
2019,Phillip Lindsay,DEN,224,16,16
2019,Todd Gurley,LAR,223,15,15
2019,Saquon Barkley,NYG,217,13,13
2019,Adrian Peterson,WAS,211,15,15
2019,Mark Ingram,BAL,202,15,15
2019,Devonta Freeman,ATL,184,14,14
2019,Miles Sanders,PHI,179,16,11
2019,Ronald Jones II,TAM,172,16,9
2019,Alvin Kamara,NOR,171,14,9
2019,Kenyan Drake,ARI,123,8,8
2019,Frank Gore,BUF,166,16,8
2019,Melvin Gordon,LAC,162,12,11
2019,Peyton Barber,TAM,154,16,7
2019,Devin Singletary,BUF,151,12,8
2019,Latavius Murray,NOR,146,16,8
2019,Tevin Coleman,SFO,137,14,11
2019,Raheem Mostert,SFO,137,16,0
2019,Gus Edwards,BAL,133,16,1
2019,Austin Ekeler,LAC,132,16,8
2019,Royce Freeman,DEN,132,16,0
2019,Matt Breida,SFO,123,13,5
2019,Jordan Howard,PHI,119,10,4
2019,James Conner,PIT,116,10,10
2019,Kerryon Johnson,DET,113,8,7
2019,Damien Williams,KAN,111,11,6
2019,Benny Snell Jr.,PIT,108,13,2
2019,DeAndre Washington,OAK,108,16,3
2019,Jamaal Williams,GNB,107,14,2
2019,LeSean McCoy,KAN,101,13,9
2019,Alexander Mattison,MIN,100,13,0
2020,Derrick Henry,TEN,378,16,16
2020,Dalvin Cook,MIN,312,14,14
2020,Josh Jacobs,LVR,273,15,15
2020,David Montgomery,CHI,247,15,14
2020,Ezekiel Elliott,DAL,244,15,15
2020,James Robinson,JAX,240,14,14
2020,Kenyan Drake,ARI,239,15,13
2020,Jonathan Taylor,IND,232,15,13
2020,Melvin Gordon,DEN,215,15,10
2020,Aaron Jones,GNB,201,14,14
2020,Kareem Hunt,CLE,198,16,5
2020,Todd Gurley,ATL,195,15,15
2020,Ronald Jones II,TAM,192,14,13
2020,Nick Chubb,CLE,190,12,12
2020,Frank Gore,NYJ,187,15,14
2020,Alvin Kamara,NOR,187,15,10
2020,Clyde Edwards-Helaire,KAN,181,13,13
2020,Antonio Gibson,WAS,170,14,10
2020,James Conner,PIT,169,13,11
2020,Mike Davis,CAR,165,15,12
2020,Miles Sanders,PHI,164,12,11
2020,Adrian Peterson,DET,156,16,10
2020,Devin Singletary,BUF,156,16,16
2020,Wayne Gallman,NYG,147,15,10
2020,David Johnson,HOU,147,12,12
2020,Latavius Murray,NOR,146,15,7
2020,Cam Akers,LAR,145,13,5
2020,Gus Edwards,BAL,144,16,6
2020,Myles Gaskin,MIA,142,10,7
2020,Chris Carson,SEA,141,12,12
2020,Darrell Henderson,LAR,138,15,11
2020,Damien Harris,NWE,137,10,10
2020,J.K. Dobbins,BAL,134,15,1
2020,Jeff Wilson,SFO,126,12,3
2020,Giovani Bernard,CIN,124,16,10
2020,Joe Mixon,CIN,119,6,6
2020,Jamaal Williams,GNB,119,14,3
2020,Phillip Lindsay,DEN,118,11,8
2020,Austin Ekeler,LAC,116,10,10
2020,D'Andre Swift,DET,114,13,4
2020,Zack Moss,BUF,112,13,0
2020,Joshua Kelley,LAC,111,14,0
2020,Benny Snell Jr.,PIT,111,16,3
2020,Raheem Mostert,SFO,104,8,8
2020,Malcolm Brown,LAR,101,16,0
2020,Tony Pollard,DAL,101,16,2
2020,Brian Hill,ATL,100,16,1
2021,Jonathan Taylor,IND,332,17,17
2021,Najee Harris,PIT,307,17,17
2021,Joe Mixon,CIN,292,16,16
2021,Antonio Gibson,WAS,258,16,14
2021,Dalvin Cook,MIN,249,13,13
2021,Alvin Kamara,NOR,240,13,10
2021,Ezekiel Elliott,DAL,237,17,17
2021,Nick Chubb,CLE,228,14,14
2021,David Montgomery,CHI,225,13,13
2021,Derrick Henry,TEN,219,8,8
2021,Josh Jacobs,LVR,217,15,14
2021,Sony Michel,LAR,208,17,7
2021,Elijah Mitchell,SFO,207,11,10
2021,Austin Ekeler,LAC,206,16,16
2021,Melvin Gordon,DEN,203,16,16
2021,Javonte Williams,DEN,203,17,1
2021,James Conner,ARI,202,15,6
2021,Damien Harris,NWE,202,15,15
2021,Devin Singletary,BUF,188,17,16
2021,AJ Dillon,GNB,187,17,2
2021,Leonard Fournette,TAM,180,14,13
2021,Myles Gaskin,MIA,173,17,10
2021,Chuba Hubbard,CAR,172,17,10
2021,Aaron Jones,GNB,171,15,15
2021,James Robinson,JAX,164,14,13
2021,Saquon Barkley,NYG,162,13,13
2021,Cordarrelle Patterson,ATL,153,16,13
2021,Jamaal Williams,DET,153,13,11
2021,D'Andre Swift,DET,151,13,4
2021,Darrell Henderson,LAR,149,12,10
2021,Michael Carter,NYJ,147,14,11
2021,Devontae Booker,NYG,145,16,4
2021,Darrel Williams,KAN,144,17,7
2021,Mike Davis,ATL,138,17,8
2021,Miles Sanders,PHI,137,12,12
2021,Alexander Mattison,MIN,134,16,4
2021,D'Onta Foreman,TEN,133,9,3
2021,Devonta Freeman,BAL,133,16,8
2021,Rhamondre Stevenson,NWE,133,12,2
2021,Tony Pollard,DAL,130,15,0
2021,Rex Burkhead,HOU,122,16,5
2021,Clyde Edwards-Helaire,KAN,119,10,10
2021,Latavius Murray,BAL,119,14,6
2021,Rashaad Penny,SEA,119,10,6
2021,Chase Edmonds,ARI,116,12,11
2021,Alex Collins,SEA,108,11,6
2021,Khalil Herbert,CHI,103,17,2
2021,Ronald Jones II,TAM,101,16,3
2021,D'Ernest Johnson,CLE,100,17,2
2022,Derrick Henry,TEN,349,16,16
2022,Josh Jacobs,LVR,340,17,17
2022,Nick Chubb,CLE,302,17,17
2022,Saquon Barkley,NYG,295,16,16
2022,Najee Harris,PIT,272,17,17
2022,Dalvin Cook,MIN,264,17,17
2022,Jamaal Williams,DET,262,17,9
2022,Miles Sanders,PHI,259,17,15
2022,Christian McCaffrey,SFO,159,11,10
2022,Ezekiel Elliott,DAL,231,15,14
2022,Kenneth Walker III,SEA,228,15,11
2022,Alvin Kamara,NOR,223,15,13
2022,Travis Etienne,JAX,220,17,12
2022,Dameon Pierce,HOU,220,13,13
2022,Aaron Jones,GNB,213,17,17
2022,Tyler Allgeier,ATL,210,16,7
2022,Joe Mixon,CIN,210,14,14
2022,Rhamondre Stevenson,NWE,210,17,7
2022,Brian Robinson Jr.,WAS,205,12,9
2022,Austin Ekeler,LAC,204,17,17
2022,D'Onta Foreman,CAR,203,17,9
2022,David Montgomery,CHI,201,16,16
2022,Tony Pollard,DAL,193,16,4
2022,Jonathan Taylor,IND,192,11,11
2022,Leonard Fournette,TAM,189,16,9
2022,Cam Akers,LAR,188,15,9
2022,AJ Dillon,GNB,186,17,3
2022,James Conner,ARI,183,13,13
2022,Raheem Mostert,MIA,181,16,14
2022,Devin Singletary,BUF,177,16,16
2022,Latavius Murray,DEN,160,12,7
2022,Isiah Pacheco,KAN,170,17,11
2022,Antonio Gibson,WAS,149,15,6
2022,Cordarrelle Patterson,ATL,144,13,11
2022,Khalil Herbert,CHI,129,13,1
2022,Rachaad White,TAM,129,17,8
2022,Kareem Hunt,CLE,123,17,0
2022,Michael Carter,NYJ,114,16,10
2022,Kenyan Drake,BAL,109,12,5
2022,Damien Harris,NWE,106,11,9
2023,Derrick Henry,TEN,280,17,17
2023,Christian McCaffrey,SFO,272,16,16
2023,Rachaad White,TAM,272,17,17
2023,Travis Etienne,JAX,267,17,17
2023,Joe Mixon,CIN,257,17,17
2023,Najee Harris,PIT,255,17,17
2023,Tony Pollard,DAL,252,17,17
2023,Saquon Barkley,NYG,247,14,14
2023,Chuba Hubbard,CAR,238,17,12
2023,James Cook,BUF,237,17,13
2023,Josh Jacobs,LVR,233,13,13
2023,D'Andre Swift,PHI,229,16,15
2023,Kyren Williams,LAR,228,12,11
2023,Breece Hall,NYJ,223,17,16
2023,David Montgomery,DET,219,14,14
2023,Kenneth Walker III,SEA,219,15,15
2023,Javonte Williams,DEN,217,16,13
2023,Devin Singletary,HOU,216,17,10
2023,Bijan Robinson,ATL,214,17,16
2023,Raheem Mostert,MIA,209,15,15
2023,James Conner,ARI,208,13,13
2023,Isiah Pacheco,KAN,205,14,13
2023,Jerome Ford,CLE,204,17,12
2023,Gus Edwards,BAL,198,17,9
2023,Tyler Allgeier,ATL,186,17,3
2023,Ezekiel Elliott,NWE,184,17,5
2023,Zack Moss,IND,183,14,8
2023,Jahmyr Gibbs,DET,182,15,3
2023,Alvin Kamara,NOR,180,13,12
2023,Alexander Mattison,MIN,180,16,13
2023,Austin Ekeler,LAC,179,14,14
2023,AJ Dillon,GNB,178,15,6
2023,Brian Robinson Jr.,WAS,178,15,15
2023,Jonathan Taylor,IND,169,10,7
2023,Rhamondre Stevenson,NWE,156,12,12
2023,Jaylen Warren,PIT,149,17,0
2023,Dameon Pierce,HOU,145,14,7
2023,Aaron Jones,GNB,142,11,11
2023,Kareem Hunt,CLE,135,15,2
2023,Khalil Herbert,CHI,132,12,9
2023,Miles Sanders,CAR,129,16,5
2023,D'Onta Foreman,CHI,109,9,8
2023,Zach Charbonnet,SEA,108,16,2
2023,Joshua Kelley,LAC,107,17,3
2023,Jamaal Williams,NOR,106,13,4
2023,Zamir White,LVR,104,17,4
2023,De'Von Achane,MIA,103,11,4
2023,Ty Chandler,MIN,102,17,4
2023,Tyjae Spears,TEN,100,17,1
2024,Saquon Barkley,PHI,345,16,16
2024,Derrick Henry,BAL,325,17,17
2024,Kyren Williams,LAR,316,16,16
2024,Bijan Robinson,ATL,304,17,17
2024,Jonathan Taylor,IND,303,14,13
2024,Josh Jacobs,GNB,301,17,17
2024,Najee Harris,PIT,263,17,17
2024,Tony Pollard,TEN,260,16,16
2024,Aaron Jones,MIN,255,17,17
2024,D'Andre Swift,CHI,253,17,17
2024,Jahmyr Gibbs,DET,250,17,4
2024,Chuba Hubbard,CAR,250,15,15
2024,Joe Mixon,HOU,245,14,14
2024,James Conner,ARI,236,16,16
2024,Rico Dowdle,DAL,235,16,15
2024,Chase Brown,CIN,229,16,10
2024,Alvin Kamara,NOR,228,14,14
2024,Breece Hall,NYJ,209,16,16
2024,James Cook,BUF,207,16,16
2024,Bucky Irving,TAM,207,17,3
2024,Rhamondre Stevenson,NWE,207,15,14
2024,De'Von Achane,MIA,203,17,16
2024,Kareem Hunt,KAN,200,13,8
2024,J.K. Dobbins,LAC,195,13,11
2024,Tyrone Tracy Jr.,NYG,192,17,12
2024,Brian Robinson Jr.,WAS,187,14,13
2024,David Montgomery,DET,185,14,14
2024,Tank Bigsby,JAX,168,16,1
2024,Jordan Mason,SFO,153,12,6
2024,Kenneth Walker III,SEA,153,11,11
2024,Travis Etienne,JAX,150,15,15
2024,Rachaad White,TAM,144,16,15
2024,Javonte Williams,DEN,139,17,11
2024,Tyler Allgeier,ATL,137,17,0
2024,Zach Charbonnet,SEA,135,17,6
2024,Alexander Mattison,LVR,132,14,7
2024,Antonio Gibson,NWE,120,17,3
2024,Jaylen Warren,PIT,120,15,0
2024,Ray Davis,BUF,113,17,0
2024,Jaleel McLaughlin,DEN,113,16,5
2024,Devin Singletary,NYG,113,15,5
2024,Jerome Ford,CLE,104,14,6
2024,Emanuel Wilson,GNB,103,17,0
2024,Nick Chubb,CLE,102,8,8
2024,Gus Edwards,LAC,101,11,6
2025,Jonathan Taylor,IND,323,17,17
2025,Christian McCaffrey,SFO,311,17,17
2025,James Cook,BUF,309,17,17
2025,Derrick Henry,BAL,307,17,17
2025,Bijan Robinson,ATL,287,17,17
2025,Saquon Barkley,PHI,280,16,16
2025,Ashton Jeanty,LVR,266,17,17
2025,Travis Etienne,JAX,260,17,16
2025,Kyren Williams,LAR,259,17,17
2025,Javonte Williams,DAL,252,16,16
2025,Jahmyr Gibbs,DET,243,17,17
2025,Breece Hall,NYJ,243,16,16
2025,Tony Pollard,TEN,242,17,17
2025,De'Von Achane,MIA,238,16,16
2025,Rico Dowdle,CAR,236,17,11
2025,Josh Jacobs,GNB,234,15,15
2025,Chase Brown,CIN,232,17,17
2025,Quinshon Judkins,CLE,230,14,14
2025,D'Andre Swift,CHI,223,16,16
2025,Kenneth Walker III,SEA,221,17,17
2025,Jaylen Warren,PIT,211,16,15
2025,Woody Marks,HOU,196,16,8
2025,Zach Charbonnet,SEA,184,16,0
2025,TreVeyon Henderson,NWE,180,17,4
2025,Tyrone Tracy Jr.,NYG,176,15,11
2025,Jacory Croskey-Merritt,WAS,175,17,7
2025,Bucky Irving,TAM,173,10,9
2025,Kyle Monangai,CHI,169,17,1
2025,Kareem Hunt,KAN,163,17,4
2025,Jordan Mason,MIN,159,16,5
